movie_key,film_id,title,description,release_year,language,original_language,rental_duration,length,rating,special_features
133,133,Chamber Italian,A Fateful Reflection of a Moose And a Husband who must Overcome a Monkey in Nigeria,2006,English,English,7,117,NC-17,{Trailers}
384,384,Grosse Wonderful,A Epic Drama of a Cat And a Explorer who must Redeem a Moose in Australia,2006,English,English,5,49,R,"{""Behind the Scenes""}"
8,8,Airport Pollock,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,English,English,6,54,R,{Trailers}
98,98,Bright Encounters,A Fateful Yarn of a Lumberjack And a Feminist who must Conquer a Student in A Jet Boat,2006,English,English,4,73,PG-13,{Trailers}
1,1,Academy Dinosaur,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,English,English,6,86,PG,"{""Deleted Scenes"",""Behind the Scenes""}"
2,2,Ace Goldfinger,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,English,English,3,48,G,"{Trailers,""Deleted Scenes""}"
3,3,Adaptation Holes,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,English,English,7,50,NC-17,"{Trailers,""Deleted Scenes""}"
4,4,Affair Prejudice,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,English,English,5,117,G,"{Commentaries,""Behind the Scenes""}"
5,5,African Egg,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,English,English,6,130,G,"{""Deleted Scenes""}"
6,6,Agent Truman,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,English,English,3,169,PG,"{""Deleted Scenes""}"
7,7,Airplane Sierra,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006,English,English,6,62,PG-13,"{Trailers,""Deleted Scenes""}"
9,9,Alabama Devil,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,English,English,3,114,PG-13,"{Trailers,""Deleted Scenes""}"
10,10,Aladdin Calendar,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,English,English,6,63,NC-17,"{Trailers,""Deleted Scenes""}"
11,11,Alamo Videotape,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006,English,English,6,126,G,"{Commentaries,""Behind the Scenes""}"
12,12,Alaska Phantom,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,English,English,6,136,PG,"{Commentaries,""Deleted Scenes""}"
213,213,Date Speed,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,2006,English,English,4,104,R,{Commentaries}
13,13,Ali Forever,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,English,English,4,150,PG,"{""Deleted Scenes"",""Behind the Scenes""}"
14,14,Alice Fantasia,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,2006,English,English,6,94,NC-17,"{Trailers,""Deleted Scenes"",""Behind the Scenes""}"
