sales_key,date_key,customer_key,movie_key,store_key,sales_amount
1,20070215,341,749,1,7.99
2,20070216,341,552,2,1.99
3,20070216,341,551,1,7.99
4,20070219,341,445,1,2.99
5,20070220,341,563,1,7.99
6,20070221,341,26,1,5.99
7,20070217,342,961,2,5.99
8,20070220,342,527,2,5.99
9,20070220,342,449,2,2.99
10,20070216,343,639,2,4.99
11,20070216,343,30,1,6.99
12,20070217,343,868,1,0.99
13,20070217,343,545,1,0.99
14,20070218,343,16,1,6.99
15,20070220,343,69,2,8.99
16,20070221,343,855,2,0.99
17,20070215,344,738,1,3.99
18,20070215,344,398,2,4.99
19,20070216,344,809,2,0.99
20,20070215,345,1,2,0.99
21,20070215,345,159,2,4.99
22,20070216,345,436,2,0.99
23,20070219,345,749,2,4.99
24,20070217,346,476,2,5.99
25,20070221,346,906,2,2.99
26,20070221,346,857,1,2.99
27,20070216,347,61,1,8.99
28,20070218,347,663,2,0.99
29,20070220,347,878,2,4.99
30,20070220,347,946,2,8.99
31,20070221,347,229,2,7.99
32,20070216,348,232,1,2.99
33,20070217,348,170,2,8.99
34,20070218,348,697,1,0.99
35,20070215,349,835,1,2.99
36,20070215,349,149,2,0.99
37,20070220,349,334,2,6.99
38,20070220,349,680,2,8.99
39,20070217,350,160,2,3.99
40,20070219,350,402,2,0.99
41,20070220,350,462,1,2.99
42,20070220,350,475,2,0.99
43,20070216,351,832,1,5.99
44,20070217,351,191,2,0.99
45,20070219,351,150,2,2.99
46,20070215,352,807,1,0.99
47,20070216,352,86,1,4.99
48,20070216,352,403,2,4.99
49,20070216,352,31,1,4.99
50,20070221,352,640,2,4.99
51,20070215,353,690,1,2.99
52,20070217,353,757,2,7.99
53,20070221,353,774,1,6.99
54,20070215,354,186,1,0.99
55,20070218,354,616,1,4.99
56,20070219,354,271,1,6.99
57,20070220,354,761,2,2.99
58,20070215,355,241,1,0.99
59,20070216,355,664,2,2.99
60,20070215,356,176,1,0.99
61,20070218,356,788,1,2.99
62,20070218,356,207,1,4.99
63,20070215,357,95,2,5.99
64,20070216,357,831,1,1.99
65,20070217,357,629,2,1.99
66,20070217,357,532,2,6.99
67,20070215,358,474,2,2.99
68,20070217,358,89,1,0.99
69,20070217,358,774,1,5.99
70,20070219,358,829,1,2.99
71,20070219,358,337,1,2.99
72,20070221,358,447,1,2.99
73,20070215,359,255,1,4.99
